attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHGR0013,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHGR0014,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHGR0014,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0017,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0018,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0023,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0025,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHMY0025,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0033,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0034,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMY0039,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHMY0039,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00332067,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00332067,89
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00332067,-17
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00332067,-6
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00332928,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00332928,78
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00332928,-39
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00332928,11
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00333120,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00335786,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00335786,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00335786,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00335786,94
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00335786,-22
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00335786,-22
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00338332,0
",,7,1800",PRCP,2017-01-01T00:00:00,GHCND:USC00339361,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00339361,0
",,7,1800",SNWD,2017-01-01T00:00:00,GHCND:USC00339361,0
",,7,1800",TMAX,2017-01-01T00:00:00,GHCND:USC00339361,78
",,7,1800",TMIN,2017-01-01T00:00:00,GHCND:USC00339361,-17
",,7,1800",TOBS,2017-01-01T00:00:00,GHCND:USC00339361,44
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00053859,25
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00053859,1404
"T,,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00053859,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00053859,78
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00053859,-49
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00053859,80
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00053859,140
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00053859,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00053859,67
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00093815,22
"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00093815,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00093815,0
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00093815,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00093815,19
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00093815,78
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00093815,-43
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00093815,130
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00093815,130
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00093815,54
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00093815,63
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHGR0006,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHGR0013,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHGR0014,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0005,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0009,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0017,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0018,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0023,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0025,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0033,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0034,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMY0039,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHMY0039,0
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00332067,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00332067,94
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00332067,-6
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00332067,56
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00332928,58
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00332928,122
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00332928,11
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00332928,72
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00333120,0
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00335786,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00335786,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00335786,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00335786,117
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00335786,-22
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00335786,61
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00338332,0
",,7,1800",PRCP,2017-01-02T00:00:00,GHCND:USC00339361,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00339361,0
",,7,1800",SNWD,2017-01-02T00:00:00,GHCND:USC00339361,0
",,7,1800",TMAX,2017-01-02T00:00:00,GHCND:USC00339361,106
",,7,1800",TMIN,2017-01-02T00:00:00,GHCND:USC00339361,39
",,7,1800",TOBS,2017-01-02T00:00:00,GHCND:USC00339361,100
",,7,",WT01,2017-01-02T00:00:00,GHCND:USC00339361,1
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00053859,25
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00053859,2101
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00053859,3
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00053859,122
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00053859,44
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00053859,140
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00053859,150
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00053859,40
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00053859,63
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00093815,30
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00093815,3
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00093815,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00093815,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00093815,54
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00093815,106
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00093815,39
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00093815,140
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00093815,140
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00093815,58
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00093815,72
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00093815,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00093815,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHGR0006,104
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHGR0013,109
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHGR0014,89
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0005,61
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0009,203
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0017,71
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0018,89
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0019,71
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0023,61
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0025,81
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0033,64
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0034,61
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHMY0039,97
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1OHMY0039,0
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00332067,81
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00332067,128
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00332067,56
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00332067,122
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00332928,130
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00332928,128
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00332928,67
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00332928,111
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00333120,84
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00335786,104
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00335786,0
",,7,0800",SNWD,2017-01-03T00:00:00,GHCND:USC00335786,0
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00335786,122
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00335786,61
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00335786,117
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00338332,89
",,7,1800",PRCP,2017-01-03T00:00:00,GHCND:USC00339361,178
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00339361,0
",,7,1800",SNWD,2017-01-03T00:00:00,GHCND:USC00339361,0
",,7,1800",TMAX,2017-01-03T00:00:00,GHCND:USC00339361,128
",,7,1800",TMIN,2017-01-03T00:00:00,GHCND:USC00339361,94
",,7,1800",TOBS,2017-01-03T00:00:00,GHCND:USC00339361,94
",,7,",WT01,2017-01-03T00:00:00,GHCND:USC00339361,1
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00053859,29
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00053859,2317
",,W,",PRCP,2017-01-03T00:00:00,GHCND:USW00053859,193
",,W,",TMAX,2017-01-03T00:00:00,GHCND:USW00053859,128
",,W,",TMIN,2017-01-03T00:00:00,GHCND:USW00053859,50
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00053859,300
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00053859,300
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00053859,81
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00053859,112
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00093815,34
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00093815,142
",,W,",SNOW,2017-01-03T00:00:00,GHCND:USW00093815,0
",,W,2400",SNWD,2017-01-03T00:00:00,GHCND:USW00093815,0
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00093815,97
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00093815,111
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00093815,39
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00093815,300
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00093815,300
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00093815,107
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00093815,148
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00093815,1
",,W,",WT02,2017-01-03T00:00:00,GHCND:USW00093815,1
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHGR0006,107
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHGR0013,104
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHGR0014,104
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0005,99
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0017,91
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0018,81
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0023,130
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0025,79
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0034,51
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OHMY0039,119
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1OHMY0039,0
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00332067,61
",,7,0800",TMAX,2017-01-04T00:00:00,GHCND:USC00332067,128
",,7,0800",TMIN,2017-01-04T00:00:00,GHCND:USC00332067,-44
",,7,0800",TOBS,2017-01-04T00:00:00,GHCND:USC00332067,-44
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00332928,0
",,7,0700",TMAX,2017-01-04T00:00:00,GHCND:USC00332928,111
",,7,0700",TMIN,2017-01-04T00:00:00,GHCND:USC00332928,-61
",,7,0700",TOBS,2017-01-04T00:00:00,GHCND:USC00332928,-28
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00333120,102
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00335786,99
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00335786,0
",,7,0800",SNWD,2017-01-04T00:00:00,GHCND:USC00335786,0
",,7,0800",TMAX,2017-01-04T00:00:00,GHCND:USC00335786,117
",,7,0800",TMIN,2017-01-04T00:00:00,GHCND:USC00335786,-100
",,7,0800",TOBS,2017-01-04T00:00:00,GHCND:USC00335786,-33
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00338332,74
",,7,1800",PRCP,2017-01-04T00:00:00,GHCND:USC00339361,81
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00339361,0
",,7,1800",SNWD,2017-01-04T00:00:00,GHCND:USC00339361,0
",,7,1800",TMAX,2017-01-04T00:00:00,GHCND:USC00339361,94
",,7,1800",TMIN,2017-01-04T00:00:00,GHCND:USC00339361,-50
",,7,1800",TOBS,2017-01-04T00:00:00,GHCND:USC00339361,-50
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00053859,56
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00053859,453
"T,,W,",PRCP,2017-01-04T00:00:00,GHCND:USW00053859,0
",,W,",TMAX,2017-01-04T00:00:00,GHCND:USW00053859,50
",,W,",TMIN,2017-01-04T00:00:00,GHCND:USW00053859,-71
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00053859,280
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00053859,280
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00053859,107
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00053859,143
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00093815,86
"T,,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00093815,0
",,W,",SNOW,2017-01-04T00:00:00,GHCND:USW00093815,0
",,W,2400",SNWD,2017-01-04T00:00:00,GHCND:USW00093815,0
"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00093815,-5
",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00093815,39
",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00093815,-82
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00093815,290
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00093815,300
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00093815,121
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00093815,148
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHGR0006,5
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHGR0013,5
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHGR0014,3
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHGR0014,10
",,N,",SNWD,2017-01-05T00:00:00,GHCND:US1OHGR0014,10
"T,,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0005,0
"T,,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0005,0
"T,,N,",SNWD,2017-01-05T00:00:00,GHCND:US1OHMY0005,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0009,64
",,N,",SNWD,2017-01-05T00:00:00,GHCND:US1OHMY0009,51
",,N,",WESD,2017-01-05T00:00:00,GHCND:US1OHMY0009,43
",,N,",WESF,2017-01-05T00:00:00,GHCND:US1OHMY0009,51
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0017,3
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0017,8
",,N,",SNWD,2017-01-05T00:00:00,GHCND:US1OHMY0017,13
",,N,",WESD,2017-01-05T00:00:00,GHCND:US1OHMY0017,3
",,N,",WESF,2017-01-05T00:00:00,GHCND:US1OHMY0017,3
"T,,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0018,0
"T,,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0018,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0023,3
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0023,5
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0025,5
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0025,8
",,N,",WESF,2017-01-05T00:00:00,GHCND:US1OHMY0025,5
"T,,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0034,0
"T,,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0034,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OHMY0039,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OHMY0039,0
",,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00332067,5
",,7,0800",TMAX,2017-01-05T00:00:00,GHCND:USC00332067,-28
",,7,0800",TMIN,2017-01-05T00:00:00,GHCND:USC00332067,-117
",,7,0800",TOBS,2017-01-05T00:00:00,GHCND:USC00332067,-117
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00332928,0
",,7,0700",TMAX,2017-01-05T00:00:00,GHCND:USC00332928,-28
",,7,0700",TMIN,2017-01-05T00:00:00,GHCND:USC00332928,-94
",,7,0700",TOBS,2017-01-05T00:00:00,GHCND:USC00332928,-72
"T,,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00333120,0
",,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00335786,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00335786,0
",,7,0800",SNWD,2017-01-05T00:00:00,GHCND:USC00335786,0
",,7,0800",TMAX,2017-01-05T00:00:00,GHCND:USC00335786,-33
",,7,0800",TOBS,2017-01-05T00:00:00,GHCND:USC00335786,-67
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00338332,5
",,7,1800",PRCP,2017-01-05T00:00:00,GHCND:USC00339361,20
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00339361,64
",,7,1800",SNWD,2017-01-05T00:00:00,GHCND:USC00339361,51
",,7,1800",TMAX,2017-01-05T00:00:00,GHCND:USC00339361,-50
",,7,1800",TMIN,2017-01-05T00:00:00,GHCND:USC00339361,-89
",,7,1800",TOBS,2017-01-05T00:00:00,GHCND:USC00339361,-89
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00053859,34
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00053859,2257
",,W,",PRCP,2017-01-05T00:00:00,GHCND:USW00053859,3
",,W,",TMAX,2017-01-05T00:00:00,GHCND:USW00053859,-66
",,W,",TMIN,2017-01-05T00:00:00,GHCND:USW00053859,-116
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00053859,340
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00053859,320
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00053859,67
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00053859,76
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00093815,43
",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00093815,18
",,W,",SNOW,2017-01-05T00:00:00,GHCND:USW00093815,28
"T,,W,2400",SNWD,2017-01-05T00:00:00,GHCND:USW00093815,0
"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00093815,-79
",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00093815,-66
",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00093815,-132
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00093815,320
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00093815,330
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00093815,67
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00093815,94
",,W,",WT01,2017-01-05T00:00:00,GHCND:USW00093815,1
",,W,",WT08,2017-01-05T00:00:00,GHCND:USW00093815,1
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHGR0006,15
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHGR0006,38
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHGR0013,15
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHGR0014,18
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHGR0014,66
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1OHGR0014,76
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0005,5
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0005,25
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1OHMY0005,25
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0017,5
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0017,38
",,N,",WESF,2017-01-06T00:00:00,GHCND:US1OHMY0017,5
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0018,20
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0018,25
",,N,",WESF,2017-01-06T00:00:00,GHCND:US1OHMY0018,20
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0023,20
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0023,64
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0025,13
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0025,18
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1OHMY0025,18
",,N,",WESF,2017-01-06T00:00:00,GHCND:US1OHMY0025,13
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0034,15
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0034,33
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1OHMY0034,25
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1OHMY0039,25
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1OHMY0039,71
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1OHMY0039,64
",,7,0800",PRCP,2017-01-06T00:00:00,GHCND:USC00332067,8
",,7,0800",TMAX,2017-01-06T00:00:00,GHCND:USC00332067,-72
",,7,0800",TMIN,2017-01-06T00:00:00,GHCND:USC00332067,-172
",,7,0800",TOBS,2017-01-06T00:00:00,GHCND:USC00332067,-167
",,7,0700",PRCP,2017-01-06T00:00:00,GHCND:USC00332928,0
",,7,0700",TMAX,2017-01-06T00:00:00,GHCND:USC00332928,-72
",,7,0700",TMIN,2017-01-06T00:00:00,GHCND:USC00332928,-144
",,7,0700",TOBS,2017-01-06T00:00:00,GHCND:USC00332928,-133
",,7,0800",PRCP,2017-01-06T00:00:00,GHCND:USC00333120,8
",,7,0800",PRCP,2017-01-06T00:00:00,GHCND:USC00335786,18
",,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00335786,25
",,7,0800",SNWD,2017-01-06T00:00:00,GHCND:USC00335786,25
",,7,0800",TMAX,2017-01-06T00:00:00,GHCND:USC00335786,-67
",,7,0800",TMIN,2017-01-06T00:00:00,GHCND:USC00335786,-178
",,7,0800",TOBS,2017-01-06T00:00:00,GHCND:USC00335786,-156
",,7,0700",PRCP,2017-01-06T00:00:00,GHCND:USC00338332,13
",,7,1800",PRCP,2017-01-06T00:00:00,GHCND:USC00339361,0
",,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00339361,0
",,7,1800",SNWD,2017-01-06T00:00:00,GHCND:USC00339361,0
",,7,1800",TMAX,2017-01-06T00:00:00,GHCND:USC00339361,-89
",,7,1800",TMIN,2017-01-06T00:00:00,GHCND:USC00339361,-167
",,7,1800",TOBS,2017-01-06T00:00:00,GHCND:USC00339361,-133
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00053859,23
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00053859,1301
",,W,",PRCP,2017-01-06T00:00:00,GHCND:USW00053859,0
",,W,",TMAX,2017-01-06T00:00:00,GHCND:USW00053859,-116
",,W,",TMIN,2017-01-06T00:00:00,GHCND:USW00053859,-155
",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00053859,290
",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00053859,250
",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00053859,58
",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00053859,76
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00093815,36
",,W,2400",PRCP,2017-01-06T00:00:00,GHCND:USW00093815,0
",,W,",SNOW,2017-01-06T00:00:00,GHCND:USW00093815,0
",,W,2400",SNWD,2017-01-06T00:00:00,GHCND:USW00093815,30
"H,,S,",TAVG,2017-01-06T00:00:00,GHCND:USW00093815,-137
",,W,2400",TMAX,2017-01-06T00:00:00,GHCND:USW00093815,-121
",,W,2400",TMIN,2017-01-06T00:00:00,GHCND:USW00093815,-166
",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00093815,290
",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00093815,290
",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00093815,72
",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00093815,85
",,W,",WT01,2017-01-06T00:00:00,GHCND:USW00093815,1
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1OHGR0006,0
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1OHGR0006,0
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1OHGR0013,0
